,plate,sal,las,chlor,fraction,std
0,1,0.0,0.3,+,0.0,0.0
1,1,0.0,0.3,-,0.006905494550046165,8.636030813550318e-05
2,1,0.0,1.0,+,0.002320490367775832,0.0032816689494647128
3,1,0.0,1.0,-,0.007504072588018224,0.0003061533572816826
4,1,0.0,3.0,+,0.004524650052107934,0.00014960220056616002
5,1,0.0,3.0,-,0.008039839761800961,0.00017632371530425868
6,1,0.0,10.0,+,0.004904823846600515,0.00010466682765939785
7,1,0.0,10.0,-,0.008314088972704217,0.0005953509660904243
8,1,5.0,0.3,+,0.0847950560045901,0.008682486479014605
9,1,5.0,0.3,-,0.0724233689521519,0.027814170405717726
10,1,5.0,1.0,+,0.07957843028117481,0.00388782431749663
11,1,5.0,1.0,-,0.08078616937312685,0.013936647458343523
12,1,5.0,3.0,+,0.08655336999675381,0.010300911855690969
13,1,5.0,3.0,-,0.10870763404397175,0.016215577694149424
14,1,5.0,10.0,+,0.07785970208836028,0.024343604091306564
15,1,5.0,10.0,-,0.11263043858600447,0.06760520763889041
16,1,7.5,0.3,+,0.40610919368471965,0.03628698774313707
17,1,7.5,0.3,-,0.41677148008683523,0.008512644950281034
18,1,7.5,1.0,+,0.3762329450034937,0.01566508048716436
19,1,7.5,1.0,-,0.37711522117595886,0.06311663643119254
20,1,7.5,3.0,+,0.3948462791412381,0.030639146135536137
21,1,7.5,3.0,-,0.4389591409692474,0.022829376543947604
22,1,7.5,10.0,+,0.36258190081328084,0.07247525249989618
23,1,7.5,10.0,-,0.45167726922137685,0.12821671004446714
24,1,10.0,0.3,+,0.7529643643181714,0.0364259907658781
25,1,10.0,0.3,-,0.706541266308704,0.008217991627121031
26,1,10.0,1.0,+,0.6726002642717467,0.022003550842232534
27,1,10.0,1.0,-,0.6737073037256444,0.009197169611073674
28,1,10.0,3.0,+,0.6791053547107513,0.0273852456897882
29,1,10.0,3.0,-,0.6871749039567643,0.016704143440252995
30,1,10.0,10.0,+,0.6317051292289861,0.08165703892910935
31,1,10.0,10.0,-,0.7413627853067047,0.36576825675366015
32,1,15.0,0.3,+,1.0,0.0
33,1,15.0,0.3,-,1.0,0.0
34,1,15.0,1.0,+,1.0,0.0
35,1,15.0,1.0,-,1.0,0.0
36,1,15.0,3.0,+,1.0,0.0
37,1,15.0,3.0,-,1.0,0.0
38,1,15.0,10.0,+,1.0,0.0
39,1,15.0,10.0,-,1.0,0.0
40,1,30.0,0.3,+,1.0,0.0
41,1,30.0,0.3,-,0.9710463749494085,0.0014000400199337397
42,1,30.0,1.0,+,1.0,0.0
43,1,30.0,1.0,-,0.9742787110245225,0.0016673340118248238
44,1,30.0,3.0,+,1.0,0.0
45,1,30.0,3.0,-,1.0,0.0
46,1,30.0,10.0,+,1.0,0.0
47,1,30.0,10.0,-,1.0,0.0
48,2,0.0,0.3,+,0.005512736058787241,0.0006102045312700162
49,2,0.0,0.3,-,0.010643746200997414,0.0008368110396706265
50,2,0.0,1.0,+,0.0071359551835123375,0.00014836056523090027
51,2,0.0,1.0,-,0.011479953998489313,0.001355080608416037
52,2,0.0,3.0,+,0.007233487847946961,0.00010889345198957609
53,2,0.0,3.0,-,0.011057601670001974,0.00041618157110500417
54,2,0.0,10.0,+,0.007847603467797355,0.0008375358788478307
55,2,0.0,10.0,-,0.012113943955731855,0.0007484781900660469
56,2,5.0,0.3,+,0.3486368421192695,0.10524364146256214
57,2,5.0,0.3,-,0.3019559790694065,0.09745629892726003
58,2,5.0,1.0,+,0.4297454291543378,0.004272751023874329
59,2,5.0,1.0,-,0.35080488423846157,0.09486101288489612
60,2,5.0,3.0,+,0.4374626585010905,0.024070613429336897
61,2,5.0,3.0,-,0.41887902458898935,0.06773637628640769
62,2,5.0,10.0,+,0.4379655181805939,0.006733666797604723
63,2,5.0,10.0,-,0.40439083613909266,0.0895001219753507
64,2,7.5,0.3,+,0.7540568619144045,0.04202342335976408
