well,strain,sal,las,iptg,replicate
A1,blank,0,0,0,0
A2,blank,0,0,0,0
A3,blank,0,0,0,0
A4,blank,0,0,0,0
A5,blank,0,0,0,0
A6,blank,0,0,0,0
A7,blank,0,0,0,0
A8,blank,0,0,0,0
A9,blank,0,0,0,0
A10,blank,0,0,0,0
A11,blank,0,0,0,0
A12,blank,0,0,0,0
B1,naive ,0,0,0,1
B2,naive ,0,0,10,1
B3,naive ,0,0,30,1
B4,naive ,0,0,100,1
B5,LNL,0,0,0,1
B6,LNL,0,0,10,1
B7,LNL,0,0,30,1
B8,LNL,0,0,100,1
B9,T7diff,10,1,0,1
B10,T7diff,10,1,10,1
B11,T7diff,10,1,30,1
B12,T7diff,10,1,100,1
C1,naive ,0,0,0,2
C2,naive ,0,0,10,2
C3,naive ,0,0,30,2
C4,naive ,0,0,100,2
C5,LNL,0,0,0,2
C6,LNL,0,0,10,2
C7,LNL,0,0,30,2
C8,LNL,0,0,100,2
C9,T7diff,10,1,0,2
C10,T7diff,10,1,10,2
C11,T7diff,10,1,30,2
C12,T7diff,10,1,100,2
D1,naive ,0,0,0,3
D2,naive ,0,0,10,3
D3,naive ,0,0,30,3
D4,naive ,0,0,100,3
D5,LNL,0,0,0,3
D6,LNL,0,0,10,3
D7,LNL,0,0,30,3
D8,LNL,0,0,100,3
D9,T7diff,10,1,0,3
D10,T7diff,10,1,10,3
D11,T7diff,10,1,30,3
D12,T7diff,10,1,100,3
E1,naive_hca,0,0,0,1
E2,naive_hca,0,0,10,1
E3,naive_hca,0,0,30,1
E4,naive_hca,0,0,100,1
E5,T7diff,0,1,0,1
E6,T7diff,0,1,10,1
E7,T7diff,0,1,30,1
E8,T7diff,0,1,100,1
E9,T7diff,30,1,0,1
E10,T7diff,30,1,10,1
E11,T7diff,30,1,30,1
E12,T7diff,30,1,100,1
F1,naive_hca,0,0,0,2
F2,naive_hca,0,0,10,2
F3,naive_hca,0,0,30,2
F4,naive_hca,0,0,100,2
F5,T7diff,0,1,0,2
F6,T7diff,0,1,10,2
F7,T7diff,0,1,30,2
F8,T7diff,0,1,100,2
F9,T7diff,30,1,0,2
F10,T7diff,30,1,10,2
F11,T7diff,30,1,30,2
F12,T7diff,30,1,100,2
G1,naive_hca,0,0,0,3
G2,naive_hca,0,0,10,3
G3,naive_hca,0,0,30,3
G4,naive_hca,0,0,100,3
G5,T7diff,0,1,0,3
G6,T7diff,0,1,10,3
G7,T7diff,0,1,30,3
G8,T7diff,0,1,100,3
G9,T7diff,30,1,0,3
G10,T7diff,30,1,10,3
G11,T7diff,30,1,30,3
G12,T7diff,30,1,100,3
H1,blank,0,0,0,0
H2,blank,0,0,0,0
H3,blank,0,0,0,0
H4,blank,0,0,0,0
H5,blank,0,0,0,0
H6,blank,0,0,0,0
H7,blank,0,0,0,0
H8,blank,0,0,0,0
H9,blank,0,0,0,0
H10,blank,0,0,0,0
H11,blank,0,0,0,0
H12,blank,0,0,0,0
