Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,sal,las,iptg,replicate,ChanStr
sfYFP,61,394,0.10944444444444444,A1,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,A2,8,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,A3,15,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,A4,7,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,A5,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,A6,3,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,A7,24,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,A8,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,A9,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,A10,1,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,A11,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,A12,6,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B1,0,AFU,503,540,naive,0,0,0,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B2,5,AFU,503,540,naive,0,0,10,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B3,0,AFU,503,540,naive,0,0,30,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B4,3,AFU,503,540,naive,0,0,100,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B5,3,AFU,503,540,LNL,0,0,0,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B6,5,AFU,503,540,LNL,0,0,10,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B7,0,AFU,503,540,LNL,0,0,30,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B8,9,AFU,503,540,LNL,0,0,100,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B9,0,AFU,503,540,T7diff,10,1,0,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B10,1,AFU,503,540,T7diff,10,1,10,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B11,0,AFU,503,540,T7diff,10,1,30,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,B12,2,AFU,503,540,T7diff,10,1,100,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,C1,1,AFU,503,540,naive,0,0,0,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,C2,6,AFU,503,540,naive,0,0,10,2,sfYFP61503540
