well,strain,sal,las,iptg,replicate
A1,BLANK,0,0,0,0
A2,BLANK,0,0,0,0
A3,BLANK,0,0,0,0
A4,BLANK,0,0,0,0
A5,BLANK,0,0,0,0
A6,BLANK,0,0,0,0
A7,BLANK,0,0,0,0
A8,BLANK,0,0,0,0
A9,BLANK,0,0,0,0
A10,BLANK,0,0,0,0
A11,BLANK,0,0,0,0
A12,BLANK,0,0,0,0
B1,BLANK,0,0,0,0
B2,mscar_diff,0,0,0,1
B3,mscar_diff,5,0,0,1
B4,mscar_diff,7.5,0,0,1
B5,mscar_diff,10,0,0,1
B6,mscar_diff,15,0,0,1
B7,mscar_diff,30,0,0,1
B8,naive_T7,0,0,0,1
B9,naive_T7,0,0,10,1
B10,naive_T7,0,0,30,1
B11,naive_T7,0,0,100,1
B12,BLANK,0,0,0,0
C1,BLANK,0,0,0,0
C2,mscar_diff,0,0,0,2
C3,mscar_diff,5,0,0,2
C4,mscar_diff,7.5,0,0,2
C5,mscar_diff,10,0,0,2
C6,mscar_diff,15,0,0,2
C7,mscar_diff,30,0,0,2
C8,naive_T7,0,0,0,2
C9,naive_T7,0,0,10,2
C10,naive_T7,0,0,30,2
C11,naive_T7,0,0,100,2
C12,BLANK,0,0,0,0
D1,BLANK,0,0,0,0
D2,mscar_diff,0,0,0,3
D3,mscar_diff,5,0,0,3
D4,mscar_diff,7.5,0,0,3
D5,mscar_diff,10,0,0,3
D6,mscar_diff,15,0,0,3
D7,mscar_diff,30,0,0,3
D8,naive_T7,0,0,0,3
D9,naive_T7,0,0,10,3
D10,naive_T7,0,0,30,3
D11,naive_T7,0,0,100,3
D12,BLANK,0,0,0,0
E1,BLANK,0,0,0,0
E2,mscar_diff,0,0,0,1
E3,mscar_diff,0,0.1,0,1
E4,mscar_diff,0,0.3,0,1
E5,mscar_diff,0,1,0,1
E6,mscar_diff,0,3,0,1
E7,mscar_diff,0,10,0,1
E8,naive_T7_2,0,0,0,1
E9,naive_T7_2,0,0,10,1
E10,naive_T7_2,0,0,30,1
E11,naive_T7_2,0,0,100,1
E12,BLANK,0,0,0,0
F1,BLANK,0,0,0,0
F2,mscar_diff,0,0,0,2
F3,mscar_diff,0,0.1,0,2
F4,mscar_diff,0,0.3,0,2
F5,mscar_diff,0,1,0,2
F6,mscar_diff,0,3,0,2
F7,mscar_diff,0,10,0,2
F8,naive_T7_2,0,0,0,2
F9,naive_T7_2,0,0,10,2
F10,naive_T7_2,0,0,30,2
F11,naive_T7_2,0,0,100,2
F12,BLANK,0,0,0,0
G1,BLANK,0,0,0,0
G2,mscar_diff,0,0,0,3
G3,mscar_diff,0,0.1,0,3
G4,mscar_diff,0,0.3,0,3
G5,mscar_diff,0,1,0,3
G6,mscar_diff,0,3,0,3
G7,mscar_diff,0,10,0,3
G8,naive_T7_2,0,0,0,3
G9,naive_T7_2,0,0,10,3
G10,naive_T7_2,0,0,30,3
G11,naive_T7_2,0,0,100,3
G12,BLANK,0,0,0,0
H1,BLANK,0,0,0,0
H2,BLANK,0,0,0,0
H3,BLANK,0,0,0,0
H4,BLANK,0,0,0,0
H5,BLANK,0,0,0,0
H6,BLANK,0,0,0,0
H7,BLANK,0,0,0,0
H8,BLANK,0,0,0,0
H9,BLANK,0,0,0,0
H10,BLANK,0,0,0,0
H11,BLANK,0,0,0,0
H12,BLANK,0,0,0,0
