Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,sal,las,iptg,replicate,ChanStr
mScarletI,100,394,0.10944444444444444,A1,4,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,A2,7,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,A3,0,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,A4,21,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,A5,5,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,A6,4,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,A7,1,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,A8,14,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,A9,6,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,A10,1,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,A11,5,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,A12,3,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B1,8,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B2,0,AFU,565,595,mscar_diff,0,0,0,1,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B3,0,AFU,565,595,mscar_diff,5,0,0,1,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B4,5,AFU,565,595,mscar_diff,7.5,0,0,1,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B5,4,AFU,565,595,mscar_diff,10,0,0,1,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B6,11,AFU,565,595,mscar_diff,15,0,0,1,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B7,0,AFU,565,595,mscar_diff,30,0,0,1,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B8,9,AFU,565,595,naive_T7,0,0,0,1,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B9,13,AFU,565,595,naive_T7,0,0,10,1,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B10,1,AFU,565,595,naive_T7,0,0,30,1,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B11,11,AFU,565,595,naive_T7,0,0,100,1,mScarletI100565595
mScarletI,100,394,0.10944444444444444,B12,4,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,C1,9,AFU,565,595,BLANK,0,0,0,0,mScarletI100565595
mScarletI,100,394,0.10944444444444444,C2,12,AFU,565,595,mscar_diff,0,0,0,2,mScarletI100565595
mScarletI,100,394,0.10944444444444444,C3,1,AFU,565,595,mscar_diff,5,0,0,2,mScarletI100565595
mScarletI,100,394,0.10944444444444444,C4,9,AFU,565,595,mscar_diff,7.5,0,0,2,mScarletI100565595
mScarletI,100,394,0.10944444444444444,C5,8,AFU,565,595,mscar_diff,10,0,0,2,mScarletI100565595
mScarletI,100,394,0.10944444444444444,C6,7,AFU,565,595,mscar_diff,15,0,0,2,mScarletI100565595
mScarletI,100,394,0.10944444444444444,C7,2,AFU,565,595,mscar_diff,30,0,0,2,mScarletI100565595
