,fraction,mean,well,strain,sal,las,iptg,chlor,replicate,condition,plate
0,1.0,1.8700392622765076,A01,stem,5.0,3,0,-,1,5.0 sal,1
1,0.7577023959989672,1.7418474925032112,B01,stem,5.0,3,10,-,1,5.0 sal,1
2,0.24229760400103287,3.51872167460921,B01,stem,5.0,3,10,-,1,5.0 sal,1
3,0.8978049168047579,1.6672579153186955,C01,stem,5.0,3,30,-,1,5.0 sal,1
4,0.10219508319524209,3.4689071495757227,C01,stem,5.0,3,30,-,1,5.0 sal,1
5,0.9228198599618078,1.6812111218722727,D01,stem,5.0,3,100,-,1,5.0 sal,1
6,0.07718014003819224,3.3479123638982746,D01,stem,5.0,3,100,-,1,5.0 sal,1
7,1.0,1.8678120009601997,E01,stem,5.0,3,0,-,2,5.0 sal,1
8,0.7748234316576651,1.665051172672315,F01,stem,5.0,3,10,-,2,5.0 sal,1
9,0.22517656834233485,3.4890320173799316,F01,stem,5.0,3,10,-,2,5.0 sal,1
10,0.9507617575623758,1.7047539490791968,G01,stem,5.0,3,30,-,2,5.0 sal,1
11,0.0492382424376242,3.5267223224535096,G01,stem,5.0,3,30,-,2,5.0 sal,1
12,0.8157900863775,1.654899380568625,H01,stem,5.0,3,100,-,2,5.0 sal,1
13,0.18420991362250005,3.3143387330924283,H01,stem,5.0,3,100,-,2,5.0 sal,1
14,1.0,2.3506249871011544,A02,stem,7.5,3,0,-,1,7.5 sal,1
15,1.0,3.2082721972691903,B02,stem,7.5,3,10,-,1,7.5 sal,1
16,0.2934385030729802,1.7686219735657787,C02,stem,7.5,3,30,-,1,7.5 sal,1
17,0.7065614969270199,3.5208596765732767,C02,stem,7.5,3,30,-,1,7.5 sal,1
18,0.35181511349290184,1.616375183801679,D02,stem,7.5,3,100,-,1,7.5 sal,1
19,0.6481848865070982,3.390191330580159,D02,stem,7.5,3,100,-,1,7.5 sal,1
20,1.0,2.2587996843927214,E02,stem,7.5,3,0,-,2,7.5 sal,1
21,0.2966772872098316,2.274741142454022,F02,stem,7.5,3,10,-,2,7.5 sal,1
22,0.7033227127901684,3.5535438461475444,F02,stem,7.5,3,10,-,2,7.5 sal,1
23,0.32126298770774386,1.7096320383097754,G02,stem,7.5,3,30,-,2,7.5 sal,1
24,0.6787370122922561,3.5037966208606806,G02,stem,7.5,3,30,-,2,7.5 sal,1
25,0.33483000384172107,1.6513300418646337,H02,stem,7.5,3,100,-,2,7.5 sal,1
26,0.6651699961582789,3.417569189580691,H02,stem,7.5,3,100,-,2,7.5 sal,1
27,1.0,2.5083656491045936,A03,stem,10.0,3,0,-,1,10.0 sal,1
28,1.0,3.5116117375049867,B03,stem,10.0,3,10,-,1,10.0 sal,1
29,1.0,3.7432059857235735,C03,stem,10.0,3,30,-,1,10.0 sal,1
30,1.0,3.6293973724852053,D03,stem,10.0,3,100,-,1,10.0 sal,1
31,1.0,2.5190464530090955,E03,stem,10.0,3,0,-,2,10.0 sal,1
32,1.0,3.5221363019378913,F03,stem,10.0,3,10,-,2,10.0 sal,1
33,1.0,3.774160056129697,G03,stem,10.0,3,30,-,2,10.0 sal,1
34,1.0,3.6413326086162052,H03,stem,10.0,3,100,-,2,10.0 sal,1
35,1.0,1.846778685637104,A06,stem,5.0,3,0,+,1,5.0 sal +chlor,1
36,0.9403118916909079,1.700274157794638,B06,stem,5.0,3,10,+,1,5.0 sal +chlor,1
37,0.0596881083090921,3.350399929883351,B06,stem,5.0,3,10,+,1,5.0 sal +chlor,1
38,0.9285855458198827,1.7018054112140708,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,1
39,0.07141445418011727,3.335321375531244,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,1
40,0.9607007078493562,1.752557610203304,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,1
41,0.03929929215064379,3.2992103163145012,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,1
42,1.0,1.793026889960581,E06,stem,5.0,3,0,+,2,5.0 sal +chlor,1
43,0.9110353795793911,1.6918557994063181,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,1
44,0.08896462042060894,3.398749652417211,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,1
45,0.9592770378383251,1.639645122148899,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,1
46,0.04072296216167489,3.316241656059266,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,1
47,0.952444597740795,1.7091695639329467,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,1
48,0.04755540225920497,3.2892401424502204,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,1
49,1.0,2.1294754267077964,A07,stem,7.5,3,0,+,1,7.5 sal +chlor,1
50,0.5879408848387554,1.919162859949622,B07,stem,7.5,3,10,+,1,7.5 sal +chlor,1
51,0.4120591151612446,3.3455874145119138,B07,stem,7.5,3,10,+,1,7.5 sal +chlor,1
52,0.41666057905374143,1.573554382376216,C07,stem,7.5,3,30,+,1,7.5 sal +chlor,1
53,0.5833394209462586,3.2413014410052345,C07,stem,7.5,3,30,+,1,7.5 sal +chlor,1
