,plate,strain,sal,las,iptg,chlor,replicate,Measurement
0,1,HCA_1,0.0,0,0,-,1,13.0
1,1,HCA_1,0.0,0,0,-,2,10.0
2,1,HCA_2,0.0,0,0,-,1,9.0
3,1,HCA_2,0.0,0,0,-,2,12.0
4,1,HCA_3,0.0,0,0,-,1,12.0
5,1,HCA_3,0.0,0,0,-,2,11.0
6,1,LNL,0.0,0,0,-,1,12.0
7,1,LNL,0.0,0,0,-,2,10.0
8,1,ctrl,0.0,0,0,-,1,763.0
9,1,ctrl,0.0,0,0,-,2,751.0
10,1,ctrl,0.0,0,10,-,1,6209.0
11,1,ctrl,0.0,0,10,-,2,6261.0
12,1,ctrl,0.0,0,30,-,1,9505.0
13,1,ctrl,0.0,0,30,-,2,9094.0
14,1,ctrl,0.0,0,100,-,1,2542.0
15,1,ctrl,0.0,0,100,-,2,2747.0
16,1,stem,5.0,3,0,+,1,120.0
17,1,stem,5.0,3,0,+,2,129.0
18,1,stem,5.0,3,0,-,1,139.0
19,1,stem,5.0,3,0,-,2,136.0
20,1,stem,5.0,3,10,+,1,191.0
21,1,stem,5.0,3,10,+,2,215.0
22,1,stem,5.0,3,10,-,1,322.0
23,1,stem,5.0,3,10,-,2,351.0
24,1,stem,5.0,3,30,+,1,289.0
25,1,stem,5.0,3,30,+,2,383.0
26,1,stem,5.0,3,30,-,1,451.0
27,1,stem,5.0,3,30,-,2,525.0
28,1,stem,5.0,3,100,+,1,270.0
29,1,stem,5.0,3,100,+,2,261.0
30,1,stem,5.0,3,100,-,1,464.0
31,1,stem,5.0,3,100,-,2,440.0
32,1,stem,7.5,3,0,+,1,199.0
33,1,stem,7.5,3,0,+,2,210.0
34,1,stem,7.5,3,0,-,1,266.0
35,1,stem,7.5,3,0,-,2,260.0
36,1,stem,7.5,3,10,+,1,1004.0
37,1,stem,7.5,3,10,+,2,1032.0
38,1,stem,7.5,3,10,-,1,1490.0
39,1,stem,7.5,3,10,-,2,1582.0
40,1,stem,7.5,3,30,+,1,2066.0
41,1,stem,7.5,3,30,+,2,2727.0
42,1,stem,7.5,3,30,-,1,3061.0
43,1,stem,7.5,3,30,-,2,3140.0
44,1,stem,7.5,3,100,+,1,2175.0
45,1,stem,7.5,3,100,+,2,2053.0
46,1,stem,7.5,3,100,-,1,3131.0
47,1,stem,7.5,3,100,-,2,3139.0
48,1,stem,10.0,3,0,+,1,344.0
49,1,stem,10.0,3,0,+,2,342.0
50,1,stem,10.0,3,0,-,1,433.0
51,1,stem,10.0,3,0,-,2,429.0
52,1,stem,10.0,3,10,+,1,2394.0
53,1,stem,10.0,3,10,+,2,2233.0
54,1,stem,10.0,3,10,-,1,3073.0
55,1,stem,10.0,3,10,-,2,3232.0
56,1,stem,10.0,3,30,+,1,5414.0
57,1,stem,10.0,3,30,+,2,7059.0
58,1,stem,10.0,3,30,-,1,6926.0
59,1,stem,10.0,3,30,-,2,6956.0
60,1,stem,10.0,3,100,+,1,6625.0
61,1,stem,10.0,3,100,+,2,5430.0
62,1,stem,10.0,3,100,-,1,7389.0
63,1,stem,10.0,3,100,-,2,7272.0
64,1,stem,12.5,3,0,+,1,467.0
65,1,stem,12.5,3,0,+,2,517.0
66,1,stem,12.5,3,0,-,1,553.0
67,1,stem,12.5,3,0,-,2,540.0
68,1,stem,12.5,3,10,+,1,3624.0
69,1,stem,12.5,3,10,+,2,3206.0
70,1,stem,12.5,3,10,-,1,4081.0
71,1,stem,12.5,3,10,-,2,4204.0
72,1,stem,12.5,3,30,+,1,8018.0
73,1,stem,12.5,3,30,+,2,8900.0
74,1,stem,12.5,3,30,-,1,8796.0
75,1,stem,12.5,3,30,-,2,8709.0
76,1,stem,12.5,3,100,+,1,8434.0
77,1,stem,12.5,3,100,+,2,8055.0
78,1,stem,12.5,3,100,-,1,9795.0
79,1,stem,12.5,3,100,-,2,9662.0
80,1,stem,15.0,3,0,+,1,573.0
81,1,stem,15.0,3,0,+,2,557.0
82,1,stem,15.0,3,0,-,1,624.0
83,1,stem,15.0,3,0,-,2,640.0
84,1,stem,15.0,3,10,+,1,4333.0
85,1,stem,15.0,3,10,+,2,4513.0
86,1,stem,15.0,3,10,-,1,5013.0
87,1,stem,15.0,3,10,-,2,4884.0
88,1,stem,15.0,3,30,+,1,9556.0
89,1,stem,15.0,3,30,+,2,9294.0
90,1,stem,15.0,3,30,-,1,10320.0
91,1,stem,15.0,3,30,-,2,10457.0
92,1,stem,15.0,3,100,+,1,10402.0
93,1,stem,15.0,3,100,+,2,10214.0
94,1,stem,15.0,3,100,-,1,11403.0
95,1,stem,15.0,3,100,-,2,11162.0
96,2,HCA_1,0.0,0,0,-,1,12.0
97,2,HCA_1,0.0,0,0,-,2,8.0
98,2,HCA_2,0.0,0,0,-,1,10.0
99,2,HCA_2,0.0,0,0,-,2,12.0
100,2,HCA_3,0.0,0,0,-,1,12.0
101,2,HCA_3,0.0,0,0,-,2,17.0
102,2,LNL,0.0,0,0,-,1,9.0
103,2,LNL,0.0,0,0,-,2,11.0
104,2,ctrl,0.0,0,0,-,1,828.0
105,2,ctrl,0.0,0,0,-,2,839.0
106,2,ctrl,0.0,0,10,-,1,6428.0
107,2,ctrl,0.0,0,10,-,2,6430.0
108,2,ctrl,0.0,0,30,-,1,1030.0
109,2,ctrl,0.0,0,30,-,2,814.0
110,2,ctrl,0.0,0,100,-,1,411.0
111,2,ctrl,0.0,0,100,-,2,342.0
112,2,stem,5.0,3,0,+,1,359.0
113,2,stem,5.0,3,0,+,2,363.0
114,2,stem,5.0,3,0,-,1,458.0
115,2,stem,5.0,3,0,-,2,415.0
116,2,stem,5.0,3,10,+,1,2091.0
117,2,stem,5.0,3,10,+,2,1975.0
118,2,stem,5.0,3,10,-,1,2396.0
119,2,stem,5.0,3,10,-,2,1916.0
120,2,stem,5.0,3,30,+,1,2682.0
121,2,stem,5.0,3,30,+,2,3148.0
122,2,stem,5.0,3,30,-,1,3328.0
123,2,stem,5.0,3,30,-,2,2056.0
124,2,stem,5.0,3,100,+,1,1567.0
125,2,stem,5.0,3,100,+,2,1302.0
126,2,stem,5.0,3,100,-,1,1843.0
127,2,stem,5.0,3,100,-,2,2240.0
128,2,stem,7.5,3,0,+,1,767.0
129,2,stem,7.5,3,0,+,2,778.0
130,2,stem,7.5,3,0,-,1,806.0
131,2,stem,7.5,3,0,-,2,822.0
132,2,stem,7.5,3,10,+,1,5512.0
133,2,stem,7.5,3,10,+,2,5697.0
134,2,stem,7.5,3,10,-,1,5544.0
135,2,stem,7.5,3,10,-,2,5765.0
136,2,stem,7.5,3,30,+,1,8241.0
137,2,stem,7.5,3,30,+,2,8882.0
138,2,stem,7.5,3,30,-,1,9242.0
139,2,stem,7.5,3,30,-,2,9057.0
140,2,stem,7.5,3,100,+,1,6617.0
141,2,stem,7.5,3,100,+,2,6594.0
142,2,stem,7.5,3,100,-,1,6618.0
143,2,stem,7.5,3,100,-,2,6104.0
144,2,stem,10.0,3,0,+,1,852.0
145,2,stem,10.0,3,0,+,2,874.0
146,2,stem,10.0,3,0,-,1,851.0
147,2,stem,10.0,3,0,-,2,898.0
148,2,stem,10.0,3,10,+,1,6176.0
149,2,stem,10.0,3,10,+,2,6240.0
150,2,stem,10.0,3,10,-,1,6225.0
151,2,stem,10.0,3,10,-,2,6073.0
152,2,stem,10.0,3,30,+,1,9751.0
153,2,stem,10.0,3,30,+,2,8936.0
154,2,stem,10.0,3,30,-,1,9380.0
155,2,stem,10.0,3,30,-,2,9134.0
156,2,stem,10.0,3,100,+,1,6728.0
157,2,stem,10.0,3,100,+,2,9229.0
158,2,stem,10.0,3,100,-,1,3666.0
159,2,stem,10.0,3,100,-,2,4981.0
160,2,stem,12.5,3,0,+,1,860.0
161,2,stem,12.5,3,0,+,2,854.0
162,2,stem,12.5,3,0,-,1,853.0
163,2,stem,12.5,3,0,-,2,914.0
