,fraction,mean,well,strain,sal,las,iptg,chlor,replicate,condition,plate
0,0.0,,A01,stem,5.0,3,0,-,1,5.0 sal,1
1,0.06987259396987049,2.113696808156383,B01,stem,5.0,3,10,-,1,5.0 sal,1
2,0.0799388353226012,2.2436100785252213,C01,stem,5.0,3,30,-,1,5.0 sal,1
3,0.06711324835681737,2.275326384395615,D01,stem,5.0,3,100,-,1,5.0 sal,1
4,0.0,,E01,stem,5.0,3,0,-,2,5.0 sal,1
5,0.08042677980907219,2.2021040362845703,F01,stem,5.0,3,10,-,2,5.0 sal,1
6,0.10405303348158093,2.4051080182183866,G01,stem,5.0,3,30,-,2,5.0 sal,1
7,0.07528913436182803,2.348677495160225,H01,stem,5.0,3,100,-,2,5.0 sal,1
8,0.0,,A02,stem,7.5,3,0,-,1,7.5 sal,1
9,0.5794432094844925,2.9851493347714175,B02,stem,7.5,3,10,-,1,7.5 sal,1
10,0.6291996257548694,3.2959823078454353,C02,stem,7.5,3,30,-,1,7.5 sal,1
11,0.5356810883893866,3.330923649213947,D02,stem,7.5,3,100,-,1,7.5 sal,1
12,0.0,,E02,stem,7.5,3,0,-,2,7.5 sal,1
13,0.6164213363657423,2.9942702526477207,F02,stem,7.5,3,10,-,2,7.5 sal,1
14,0.6455602848834759,3.3341181594212563,G02,stem,7.5,3,30,-,2,7.5 sal,1
15,0.5692670887434274,3.306422742853313,H02,stem,7.5,3,100,-,2,7.5 sal,1
16,0.0,,A03,stem,10.0,3,0,-,1,10.0 sal,1
17,1.0,3.2612016211647097,B03,stem,10.0,3,10,-,1,10.0 sal,1
18,0.9279869067103109,3.693248010264463,C03,stem,10.0,3,30,-,1,10.0 sal,1
19,0.8657729160669491,3.754243920489889,D03,stem,10.0,3,100,-,1,10.0 sal,1
20,0.0,,E03,stem,10.0,3,0,-,2,10.0 sal,1
21,1.0,3.232535452350231,F03,stem,10.0,3,10,-,2,10.0 sal,1
22,0.92971044045677,3.7157176247437027,G03,stem,10.0,3,30,-,2,10.0 sal,1
23,0.8805216746332619,3.714898984532495,H03,stem,10.0,3,100,-,2,10.0 sal,1
24,0.0,,A06,stem,5.0,3,0,+,1,5.0 sal +chlor,1
25,0.0,,B06,stem,5.0,3,10,+,1,5.0 sal +chlor,1
26,0.05957825466134139,2.072524802498211,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,1
27,0.040355308928275636,1.9531317291446415,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,1
28,0.0,,E06,stem,5.0,3,0,+,2,5.0 sal +chlor,1
29,0.04179406660606561,1.7885325095527906,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,1
30,0.09015157859475756,2.2094061725897594,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,1
31,0.03667023014704399,1.9868853077437385,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,1
32,0.0,,A07,stem,7.5,3,0,+,1,7.5 sal +chlor,1
33,0.4818331698562097,2.744880457950215,B07,stem,7.5,3,10,+,1,7.5 sal +chlor,1
34,0.5522161375887739,3.125963621040984,C07,stem,7.5,3,30,+,1,7.5 sal +chlor,1
35,0.45113609390846515,3.12531638734337,D07,stem,7.5,3,100,+,1,7.5 sal +chlor,1
36,0.0,,E07,stem,7.5,3,0,+,2,7.5 sal +chlor,1
37,0.4906548902237385,2.7584618427148646,F07,stem,7.5,3,10,+,2,7.5 sal +chlor,1
38,0.6499240890688259,3.239843023976609,G07,stem,7.5,3,30,+,2,7.5 sal +chlor,1
39,0.3830386672655261,3.0985813156774915,H07,stem,7.5,3,100,+,2,7.5 sal +chlor,1
40,0.0,,A08,stem,10.0,3,0,+,1,10.0 sal +chlor,1
41,1.0,3.0571269217337873,B08,stem,10.0,3,10,+,1,10.0 sal +chlor,1
42,0.8972150445018662,3.589390442572642,C08,stem,10.0,3,30,+,1,10.0 sal +chlor,1
43,0.8585962388243757,3.6787233543552893,D08,stem,10.0,3,100,+,1,10.0 sal +chlor,1
44,0.0,,E08,stem,10.0,3,0,+,2,10.0 sal +chlor,1
45,0.8538530943690276,3.149964017059881,F08,stem,10.0,3,10,+,2,10.0 sal +chlor,1
