,plate,strain,sal,las,iptg,chlor,Measurement,std
0,1,HCA_1,0.0,0,0,-,11.25,1.2583057392117916
1,1,HCA_2,0.0,0,0,-,11.25,1.5
2,1,HCA_3,0.0,0,0,-,11.75,0.9574271077563381
3,1,LNL,0.0,0,0,-,11.5,1.0
4,1,ctrl,0.0,0,0,-,758.75,6.946221994724906
5,1,ctrl,0.0,0,10,-,6194.5,141.1323256144153
6,1,ctrl,0.0,0,30,-,9209.0,280.3604822367089
7,1,ctrl,0.0,0,100,-,3629.5,1143.2300730824045
8,1,stem,5.0,3,0,+,139.75,19.431503630273532
9,1,stem,5.0,3,0,-,164.75,32.159757461772
10,1,stem,5.0,3,10,+,274.25,91.83091345874038
11,1,stem,5.0,3,10,-,663.5,380.289801774033
12,1,stem,5.0,3,30,+,348.75,70.73129905965722
13,1,stem,5.0,3,30,-,513.75,121.5329173516377
14,1,stem,5.0,3,100,+,258.75,9.215023964519391
15,1,stem,5.0,3,100,-,490.75,128.84971866480734
16,1,stem,7.5,3,0,+,263.75,71.08855979222912
17,1,stem,7.5,3,0,-,367.25,121.56034166892863
18,1,stem,7.5,3,10,+,1269.0,305.63813025646306
19,1,stem,7.5,3,10,-,2413.75,1014.8275305029257
20,1,stem,7.5,3,30,+,2123.5,426.6540362713878
21,1,stem,7.5,3,30,-,3290.25,223.51640506534048
22,1,stem,7.5,3,100,+,1902.25,258.67531128166576
23,1,stem,7.5,3,100,-,2826.25,385.78869432199104
24,1,stem,10.0,3,0,+,437.5,109.17111950206123
25,1,stem,10.0,3,0,-,542.75,129.19333058121327
26,1,stem,10.0,3,10,+,2846.75,652.5311614525905
27,1,stem,10.0,3,10,-,4272.25,1297.1253794448708
28,1,stem,10.0,3,30,+,5943.0,786.8066259676939
29,1,stem,10.0,3,30,-,7517.75,666.8275014324669
30,1,stem,10.0,3,100,+,5642.75,684.0625580554262
31,1,stem,10.0,3,100,-,7129.0,241.80846414741853
32,1,stem,12.5,3,0,+,553.25,74.01970458375708
33,1,stem,12.5,3,0,-,628.75,95.12228971171794
34,1,stem,12.5,3,10,+,3785.25,460.7974066767304
35,1,stem,12.5,3,10,-,4851.75,824.7251562389337
36,1,stem,12.5,3,30,+,7860.5,870.8086280387136
37,1,stem,12.5,3,30,-,9012.25,304.06290467598996
38,1,stem,12.5,3,100,+,7588.5,790.4363773680122
39,1,stem,12.5,3,100,-,8808.25,1067.7834908507127
40,1,stem,15.0,3,0,+,608.75,51.01878738922228
41,1,stem,15.0,3,0,-,685.75,62.63319141371184
42,1,stem,15.0,3,10,+,4354.5,108.16191566350875
43,1,stem,15.0,3,10,-,5373.25,495.7864963873057
44,1,stem,15.0,3,30,+,8565.5,998.2336065938343
45,1,stem,15.0,3,30,-,9800.75,695.4717224062146
46,1,stem,15.0,3,100,+,8862.5,1674.9578104139418
47,1,stem,15.0,3,100,-,9590.25,1979.953597941123
48,2,HCA_1,0.0,0,0,-,10.75,1.8929694486000912
49,2,HCA_2,0.0,0,0,-,13.5,3.872983346207417
50,2,HCA_3,0.0,0,0,-,14.75,2.217355782608345
51,2,LNL,0.0,0,0,-,11.5,3.1091263510296048
52,2,ctrl,0.0,0,0,-,849.25,19.17246289169268
53,2,ctrl,0.0,0,10,-,12666.75,243.11365654771433
54,2,ctrl,0.0,0,30,-,10290.75,387.74766279115084
55,2,ctrl,0.0,0,100,-,4501.75,1713.988598756324
56,2,stem,5.0,3,0,+,370.75,19.568256607747827
57,2,stem,5.0,3,0,-,433.0,19.30457631409368
58,2,stem,5.0,3,10,+,2029.5,309.3751767676263
59,2,stem,5.0,3,10,-,2951.0,661.6267830129007
60,2,stem,5.0,3,30,+,2546.0,856.0942315734486
61,2,stem,5.0,3,30,-,2509.5,953.8939493815163
62,2,stem,5.0,3,100,+,1447.75,314.7267333206169
63,2,stem,5.0,3,100,-,2158.25,495.62578289135314
64,2,stem,7.5,3,0,+,780.75,21.530985424112224
65,2,stem,7.5,3,0,-,847.75,40.11961282631395
66,2,stem,7.5,3,10,+,6683.0,254.011810749028
67,2,stem,7.5,3,10,-,8328.0,1342.8886774412836
68,2,stem,7.5,3,30,+,9872.0,1364.6511153649003
69,2,stem,7.5,3,30,-,11745.25,747.3617486420707
70,2,stem,7.5,3,100,+,7752.25,1119.3859551855503
71,2,stem,7.5,3,100,-,8620.5,1238.0774073807609
72,2,stem,10.0,3,0,+,867.5,10.503967504392495
73,2,stem,10.0,3,0,-,907.75,44.86553985707368
74,2,stem,10.0,3,10,+,9084.25,768.4301638188513
75,2,stem,10.0,3,10,-,10595.75,1514.5470995207334
76,2,stem,10.0,3,30,+,15518.75,493.909826452832
77,2,stem,10.0,3,30,-,16573.0,475.1911895928487
78,2,stem,10.0,3,100,+,13904.5,553.6439891000955
79,2,stem,10.0,3,100,-,11761.5,679.2949776545286
80,2,stem,12.5,3,0,+,861.5,12.069244660154448
81,2,stem,12.5,3,0,-,918.5,47.76679460322481
82,2,stem,12.5,3,10,+,10011.75,482.8383960153404
83,2,stem,12.5,3,10,-,11276.75,1303.6861521598416
84,2,stem,12.5,3,30,+,16536.0,289.55713310732546
85,2,stem,12.5,3,30,-,16656.25,532.0447192984192
86,2,stem,12.5,3,100,+,11481.0,715.3237029485324
87,2,stem,12.5,3,100,-,11141.75,554.2745258443689
88,2,stem,15.0,3,0,+,842.5,15.154757228892407
89,2,stem,15.0,3,0,-,913.75,35.45302055772777
90,2,stem,15.0,3,10,+,10423.25,68.45619037019208
91,2,stem,15.0,3,10,-,11854.5,941.290780435745
92,2,stem,15.0,3,30,+,15894.5,684.3149859531061
93,2,stem,15.0,3,30,-,15038.25,376.6478240124761
94,2,stem,15.0,3,100,+,10655.75,976.1503897112033
95,2,stem,15.0,3,100,-,11706.5,1584.3773750804023
96,3,HCA_1,0.0,0,0,-,18.75,15.58578412100805
97,3,HCA_2,0.0,0,0,-,51.0,70.7153920067383
98,3,HCA_3,0.0,0,0,-,67.75,115.50865768417535
99,3,LNL,0.0,0,0,-,10.25,0.5000000000000001
100,3,ctrl,0.0,0,0,-,862.75,16.997548842896915
101,3,ctrl,0.0,0,10,-,18908.0,367.20475668669286
102,3,ctrl,0.0,0,30,-,10448.0,390.44163029403853
103,3,ctrl,0.0,0,100,-,4909.5,1920.4868306413002
104,3,stem,5.0,3,0,+,564.5,58.15209941753322
105,3,stem,5.0,3,0,-,618.5,21.97726097583591
106,3,stem,5.0,3,10,+,4988.75,896.2705599687332
107,3,stem,5.0,3,10,-,6070.75,872.2027191733201
108,3,stem,5.0,3,30,+,5352.0,1930.4503792293306
109,3,stem,5.0,3,30,-,4865.25,1683.1132611918902
110,3,stem,5.0,3,100,+,2875.75,319.7721845314255
111,3,stem,5.0,3,100,-,3790.5,719.5982675539642
112,3,stem,7.5,3,0,+,952.5,12.871156384205214
113,3,stem,7.5,3,0,-,919.5,31.352830813181765
114,3,stem,7.5,3,10,+,13063.5,467.84078488306244
115,3,stem,7.5,3,10,-,14897.25,1448.8469840991947
116,3,stem,7.5,3,30,+,17387.75,1778.2851992860983
117,3,stem,7.5,3,30,-,18442.0,345.72918110374616
118,3,stem,7.5,3,100,+,13210.75,761.823415672337
119,3,stem,7.5,3,100,-,13485.0,778.6672374427131
120,3,stem,10.0,3,0,+,974.25,19.73786547054502
121,3,stem,10.0,3,0,-,934.5,28.548204847240402
122,3,stem,10.0,3,10,+,15428.25,787.0884638971658
123,3,stem,10.0,3,10,-,17342.5,1868.2638107790528
124,3,stem,10.0,3,30,+,17620.5,859.2979692749192
125,3,stem,10.0,3,30,-,17523.5,424.3241685315603
126,3,stem,10.0,3,100,+,16037.5,597.4225193836157
127,3,stem,10.0,3,100,-,12767.0,822.0385230226947
128,3,stem,12.5,3,0,+,938.25,39.35627861811463
129,3,stem,12.5,3,0,-,943.5,21.946905628508688
130,3,stem,12.5,3,10,+,15745.75,315.4196939528878
131,3,stem,12.5,3,10,-,17969.75,1462.8126731289503
132,3,stem,12.5,3,30,+,16978.0,269.80857411629205
133,3,stem,12.5,3,30,-,17290.5,688.0259200543732
134,3,stem,12.5,3,100,+,12043.25,842.5304643354648
135,3,stem,12.5,3,100,-,11777.25,620.6955104289593
136,3,stem,15.0,3,0,+,866.0,63.91139700136955
137,3,stem,15.0,3,0,-,938.5,13.576941236277543
138,3,stem,15.0,3,10,+,14947.5,930.5684642554068
139,3,stem,15.0,3,10,-,18495.0,1026.2576024890957
140,3,stem,15.0,3,30,+,16203.75,678.3938752671638
141,3,stem,15.0,3,30,-,15375.0,395.3631242288539
142,3,stem,15.0,3,100,+,10856.75,946.7155063692577
143,3,stem,15.0,3,100,-,12385.75,1758.130517528965
144,4,HCA_1,0.0,0,0,-,10.0,1.4142135623730951
145,4,HCA_2,0.0,0,0,-,12.25,3.593976442141304
146,4,HCA_3,0.0,0,0,-,15.25,6.701989754294367
147,4,LNL,0.0,0,0,-,39.0,56.05354582896607
148,4,ctrl,0.0,0,0,-,837.0,18.49324200890691
149,4,ctrl,0.0,0,10,-,25476.75,651.3792418143724
150,4,ctrl,0.0,0,30,-,10584.0,393.52170630517116
151,4,ctrl,0.0,0,100,-,5136.0,1993.1383962652133
152,4,stem,5.0,3,0,+,620.75,49.91576237355625
153,4,stem,5.0,3,0,-,709.0,22.196095752781982
154,4,stem,5.0,3,10,+,8351.75,1215.7470611384042
155,4,stem,5.0,3,10,-,9838.0,1025.5070290674105
156,4,stem,5.0,3,30,+,8318.75,2100.9582535912828
157,4,stem,5.0,3,30,-,7693.75,1502.6679329335095
158,4,stem,5.0,3,100,+,4526.5,469.7847024613154
159,4,stem,5.0,3,100,-,5247.25,755.3967500591989
160,4,stem,7.5,3,0,+,830.5,14.45683229480096
161,4,stem,7.5,3,0,-,881.75,13.047988350699889
162,4,stem,7.5,3,10,+,18453.25,801.3174048611038
163,4,stem,7.5,3,10,-,21285.25,1628.0578153124666
164,4,stem,7.5,3,30,+,22985.0,890.1902418397241
165,4,stem,7.5,3,30,-,20503.5,1798.398083480592
166,4,stem,7.5,3,100,+,18363.0,1632.7708555295405
167,4,stem,7.5,3,100,-,17145.0,987.1896136676751
168,4,stem,10.0,3,0,+,432.0,169.26310879810757
169,4,stem,10.0,3,0,-,898.5,17.935068069752816
170,4,stem,10.0,3,10,+,16173.75,614.7847184177562
171,4,stem,10.0,3,10,-,23722.75,2117.485517463264
172,4,stem,10.0,3,30,+,18264.0,1249.401723492755
173,4,stem,10.0,3,30,-,17682.75,425.91186490477895
174,4,stem,10.0,3,100,+,16323.0,646.9848014701222
175,4,stem,10.0,3,100,-,13111.75,840.4147289681842
176,4,stem,12.5,3,0,+,226.25,46.349217900629135
177,4,stem,12.5,3,0,-,898.75,16.720745597410836
178,4,stem,12.5,3,10,+,16219.75,211.68431684940654
179,4,stem,12.5,3,10,-,24473.0,1644.0654893687583
180,4,stem,12.5,3,30,+,17141.5,269.45686111138457
181,4,stem,12.5,3,30,-,17435.5,685.8797270659052
182,4,stem,12.5,3,100,+,12210.75,823.9418972233418
183,4,stem,12.5,3,100,-,12110.75,651.6110163791483
184,4,stem,15.0,3,0,+,243.75,13.744695946679453
185,4,stem,15.0,3,0,-,894.5,18.083141320025124
186,4,stem,15.0,3,10,+,15342.5,1023.321552592341
187,4,stem,15.0,3,10,-,24943.5,1348.1049662396467
188,4,stem,15.0,3,30,+,16351.5,686.4364500811419
189,4,stem,15.0,3,30,-,15518.25,383.50608426290535
190,4,stem,15.0,3,100,+,11010.5,930.9602569390379
191,4,stem,15.0,3,100,-,12746.5,1841.9803654400516
192,5,HCA_1,0.0,0,0,-,10.75,2.6299556396765835
193,5,HCA_2,0.0,0,0,-,11.5,2.6457513110645907
194,5,HCA_3,0.0,0,0,-,12.25,2.5
195,5,LNL,0.0,0,0,-,12.0,0.8164965809277263
196,5,ctrl,0.0,0,0,-,841.5,8.020806277010657
197,5,ctrl,0.0,0,10,-,31670.25,614.5954631571346
198,5,ctrl,0.0,0,30,-,10731.0,399.38035338091765
199,5,ctrl,0.0,0,100,-,5311.0,2020.690146129947
200,5,stem,5.0,3,0,+,576.75,62.96758425306363
201,5,stem,5.0,3,0,-,786.25,22.721135535003526
202,5,stem,5.0,3,10,+,11100.5,1192.8144588884447
203,5,stem,5.0,3,10,-,13603.75,1270.543551660732
204,5,stem,5.0,3,30,+,10574.75,2081.5001601409176
205,5,stem,5.0,3,30,-,9750.0,1411.926107603841
206,5,stem,5.0,3,100,+,5968.5,628.7333828155354
207,5,stem,5.0,3,100,-,6386.5,1082.608732029567
208,5,stem,7.5,3,0,+,679.25,37.75689782454769
209,5,stem,7.5,3,0,-,898.5,24.25558354963518
210,5,stem,7.5,3,10,+,22958.5,968.1950561052595
211,5,stem,7.5,3,10,-,27525.0,1806.6217091577303
212,5,stem,7.5,3,30,+,26699.0,2810.1933504061003
213,5,stem,7.5,3,30,-,20928.0,2079.187822203661
214,5,stem,7.5,3,100,+,21742.25,706.3192738887044
215,5,stem,7.5,3,100,-,18503.5,1125.5924366009808
216,5,stem,10.0,3,0,+,382.25,74.50447413858222
217,5,stem,10.0,3,0,-,901.0,22.934689882359418
218,5,stem,10.0,3,10,+,16657.0,463.30119792636015
219,5,stem,10.0,3,10,-,29930.5,2138.532596587358
220,5,stem,10.0,3,30,+,18457.0,1271.7554796422146
221,5,stem,10.0,3,30,-,17824.0,429.7340262689621
222,5,stem,10.0,3,100,+,16501.25,624.7593536714758
223,5,stem,10.0,3,100,-,13333.0,850.4167605748764
224,5,stem,12.5,3,0,+,312.0,71.08680140035374
225,5,stem,12.5,3,0,-,905.75,28.663274993156907
226,5,stem,12.5,3,10,+,16605.25,166.87994686800067
227,5,stem,12.5,3,10,-,30777.0,1783.572258138144
