,plate,strain,sal,las,iptg,chlor,fraction,std
0,1,ctrl,0.0,0,0,-,1.0,0.0
1,1,ctrl,0.0,0,10,-,0.9889094122566443,0.009295626708012948
2,1,ctrl,0.0,0,30,-,0.9441118665202581,0.015505269353725492
3,1,ctrl,0.0,0,100,-,0.31792138500345507,0.26160227757099674
4,1,stem,5.0,3,0,+,0.0,0.0
5,1,stem,5.0,3,0,-,0.0,0.0
6,1,stem,5.0,3,10,+,0.04761169883394166,0.037222853643773465
7,1,stem,5.0,3,10,-,0.1544433865305776,0.09192791299250609
8,1,stem,5.0,3,30,+,0.06546681239947277,0.020749661536939343
9,1,stem,5.0,3,30,-,0.08385629860926211,0.02554718152294384
10,1,stem,5.0,3,100,+,0.04097005837129209,0.004655629335254992
11,1,stem,5.0,3,100,-,0.10094810909483443,0.05567951517925532
12,1,stem,7.5,3,0,+,0.0,0.0
13,1,stem,7.5,3,0,-,0.0,0.0
14,1,stem,7.5,3,10,+,0.4617673339355789,0.035159661812728886
15,1,stem,7.5,3,10,-,0.7247968146601008,0.1906749809714817
16,1,stem,7.5,3,30,+,0.5829871018481948,0.0474732413581044
17,1,stem,7.5,3,30,-,0.6650146049644053,0.034523576486295865
18,1,stem,7.5,3,100,+,0.4416048304846981,0.04555767866306672
19,1,stem,7.5,3,100,-,0.6045757649495478,0.062092928777642796
20,1,stem,10.0,3,0,+,0.0,0.0
21,1,stem,10.0,3,0,-,0.5,0.5773502691896257
22,1,stem,10.0,3,10,+,0.9634632735922569,0.07307345281548623
23,1,stem,10.0,3,10,-,1.0,0.0
24,1,stem,10.0,3,30,+,0.9606402947282963,0.04951446423096134
25,1,stem,10.0,3,30,-,0.9644243367917703,0.041085263112658636
26,1,stem,10.0,3,100,+,0.8629311702499979,0.041543212139984735
27,1,stem,10.0,3,100,-,0.9365736476750528,0.07348553512226533
28,2,ctrl,0.0,0,0,-,1.0,0.0
29,2,ctrl,0.0,0,10,-,0.9709442446181789,0.010803935598475
30,2,ctrl,0.0,0,30,-,0.04794486428058943,0.02604234033732683
31,2,ctrl,0.0,0,100,-,0.10235571602611479,0.08669844995788911
32,2,stem,5.0,3,0,+,0.0,0.0
