,plate,strain,sal,las,iptg,chlor,mean,std
0,1,ctrl,0.0,0,0,-,2.6002455093082895,0.033363940249312614
1,1,ctrl,0.0,0,10,-,3.6396028818951622,0.0355579781839617
2,1,ctrl,0.0,0,30,-,4.102289105958095,0.06972963731346343
3,1,ctrl,0.0,0,100,-,3.01907637276737,0.4040243732081779
4,1,stem,5.0,3,0,+,,
5,1,stem,5.0,3,0,-,,
6,1,stem,5.0,3,10,+,2.0875957456724143,0.28171711963438967
7,1,stem,5.0,3,10,-,2.515106713065277,0.4148033024592282
8,1,stem,5.0,3,30,+,2.099279872172035,0.13026956849496668
9,1,stem,5.0,3,30,-,2.3365200281712153,0.12550402502888697
10,1,stem,5.0,3,100,+,1.950013020826431,0.04009208428115342
11,1,stem,5.0,3,100,-,2.3597683844227664,0.15391034426262223
12,1,stem,7.5,3,0,+,,
13,1,stem,7.5,3,0,-,,
14,1,stem,7.5,3,10,+,2.877669404201617,0.1497923669069011
15,1,stem,7.5,3,10,-,3.1470975683470366,0.1980228781476713
16,1,stem,7.5,3,30,+,3.093164607275764,0.113615198184032
17,1,stem,7.5,3,30,-,3.333902066145517,0.030244886301352806
18,1,stem,7.5,3,100,+,3.047421350415595,0.07620395188239856
19,1,stem,7.5,3,100,-,3.269934616002662,0.059294103537501426
20,1,stem,10.0,3,0,+,,
21,1,stem,10.0,3,0,-,2.5137060510568445,0.007552468869397032
22,1,stem,10.0,3,10,+,3.173003108836657,0.09528788228862842
23,1,stem,10.0,3,10,-,3.381871278239455,0.15638544121934458
24,1,stem,10.0,3,30,+,3.5720657866411782,0.09318386997690147
25,1,stem,10.0,3,30,-,3.7315829192153593,0.034972279860019134
26,1,stem,10.0,3,100,+,3.575219485332058,0.07940007748175494
27,1,stem,10.0,3,100,-,3.6849682215309487,0.05968572978028248
28,2,ctrl,0.0,0,0,-,2.7222635721690502,0.014608775444789944
29,2,ctrl,0.0,0,10,-,3.697608255972708,0.021128251166729874
30,2,ctrl,0.0,0,30,-,2.663991357341784,0.13727622016354105
31,2,ctrl,0.0,0,100,-,2.5186441328390727,0.43110338263707143
32,2,stem,5.0,3,0,+,,
33,2,stem,5.0,3,0,-,2.3655712685984853,
34,2,stem,5.0,3,10,+,3.085955170133104,0.13031154447319054
35,2,stem,5.0,3,10,-,3.2266597579449443,0.06921630601976082
36,2,stem,5.0,3,30,+,3.063477283916349,0.21876256776356806
37,2,stem,5.0,3,30,-,3.0082996908635673,0.29828633359324436
38,2,stem,5.0,3,100,+,2.720492617405311,0.2180782790019057
39,2,stem,5.0,3,100,-,2.8726063378688336,0.1851512422365396
40,2,stem,7.5,3,0,+,2.6373308775967277,0.03501540020356974
41,2,stem,7.5,3,0,-,2.6573142194205843,0.04489010908322686
42,2,stem,7.5,3,10,+,3.6185385515674584,0.0339968585222613
43,2,stem,7.5,3,10,-,3.643550502509391,0.021634466779825903
44,2,stem,7.5,3,30,+,3.827760778805963,0.14278593074532445
45,2,stem,7.5,3,30,-,3.8900653140722588,0.17090358774774775
46,2,stem,7.5,3,100,+,3.514047148107132,0.08034983456817603
47,2,stem,7.5,3,100,-,3.506891737272663,0.11582461142862353
48,2,stem,10.0,3,0,+,2.7160593650097304,0.035388642713293006
49,2,stem,10.0,3,0,-,2.747621929178221,0.019586986156399748
50,2,stem,10.0,3,10,+,3.65314426897027,0.03984350749811586
51,2,stem,10.0,3,10,-,3.648861754840982,0.0448954575295346
52,2,stem,10.0,3,30,+,4.144083995936727,0.06119344565581195
53,2,stem,10.0,3,30,-,4.1049088138638155,0.05889079370528934
54,2,stem,10.0,3,100,+,3.7862883091556587,0.08357494627792973
55,2,stem,10.0,3,100,-,3.4149302114117868,0.12902428349570333
56,3,ctrl,0.0,0,0,-,2.7044662899886083,0.01488296691333401
57,3,ctrl,0.0,0,10,-,3.667289656681135,0.00889147659240679
58,3,ctrl,0.0,0,30,-,,
59,3,ctrl,0.0,0,100,-,2.2156473518203197,0.4099798322056705
60,3,stem,5.0,3,0,+,2.446909430594199,
61,3,stem,5.0,3,0,-,2.632238440607963,
62,3,stem,5.0,3,10,+,3.305506765553427,0.10219132824304236
63,3,stem,5.0,3,10,-,3.382451386447097,0.06243795218308051
64,3,stem,5.0,3,30,+,3.1664244593005737,0.22064536733658086
65,3,stem,5.0,3,30,-,3.0999479875134055,0.1499864877723768
66,3,stem,5.0,3,100,+,2.6457492373020837,0.3622679871250641
67,3,stem,5.0,3,100,-,3.052939097827809,0.09375938004300177
68,3,stem,7.5,3,0,+,2.7102314777549164,0.008414635289107913
69,3,stem,7.5,3,0,-,2.7233033388630092,0.010495407385522362
70,3,stem,7.5,3,10,+,3.6525946218212604,0.006686804710024505
71,3,stem,7.5,3,10,-,3.672320228872098,0.035788952221428756
72,3,stem,7.5,3,30,+,3.872638557223042,0.13410205166846975
73,3,stem,7.5,3,30,-,3.8127340888848926,0.07150409472068753
74,3,stem,7.5,3,100,+,3.4313860010115054,0.039801555192849176
75,3,stem,7.5,3,100,-,3.3511687287180676,0.09315537805023984
76,3,stem,10.0,3,0,+,2.719337560811388,0.014373544707005121
77,3,stem,10.0,3,0,-,2.723648609554731,0.019198027758516416
78,3,stem,10.0,3,10,+,3.677000124280476,0.020908952715555457
79,3,stem,10.0,3,10,-,3.673168524730417,0.014964934672613148
80,3,stem,10.0,3,30,+,2.924297774297926,0.40837705885690445
81,3,stem,10.0,3,30,-,2.6386797173831447,0.054169714032854026
82,3,stem,10.0,3,100,+,2.848900426102933,0.30580024127455674
83,3,stem,10.0,3,100,-,2.571618825698695,0.07437838198565229
84,4,ctrl,0.0,0,0,-,2.713315244164151,0.03600706325833472
85,4,ctrl,0.0,0,10,-,3.686276015402486,0.030309984932351604
86,4,ctrl,0.0,0,30,-,,
87,4,ctrl,0.0,0,100,-,1.958237061148234,0.0867573302276361
88,4,stem,5.0,3,0,+,2.5828813710608656,
89,4,stem,5.0,3,0,-,2.5634188612410553,0.026925778974665436
90,4,stem,5.0,3,10,+,3.388102375447299,0.07294225381445052
91,4,stem,5.0,3,10,-,3.459014910878526,0.028935490763651144
92,4,stem,5.0,3,30,+,3.276640288060057,0.07910857346777429
93,4,stem,5.0,3,30,-,3.239129563070225,0.041555768689821325
94,4,stem,5.0,3,100,+,3.002760623880084,0.09014301756260465
95,4,stem,5.0,3,100,-,2.935157587716643,0.24248339515069747
96,4,stem,7.5,3,0,+,2.6497387395515597,0.02730800632462631
97,4,stem,7.5,3,0,-,2.703747440448045,0.01744188682043688
98,4,stem,7.5,3,10,+,3.5940293165055914,0.03352684312260831
99,4,stem,7.5,3,10,-,3.6614515648554455,0.010909253385692565
100,4,stem,7.5,3,30,+,3.6561886556187213,0.15232111673951582
101,4,stem,7.5,3,30,-,2.9875550194629943,0.42074392447272235
102,4,stem,7.5,3,100,+,3.3899998402874862,0.1902385106062687
103,4,stem,7.5,3,100,-,3.2879598998052413,0.09779803218281134
104,4,stem,10.0,3,0,+,,
105,4,stem,10.0,3,0,-,2.710290790527211,0.011648921561504851
106,4,stem,10.0,3,10,+,2.544509089054994,0.20827587964193287
107,4,stem,10.0,3,10,-,3.6385943465560215,0.009758623457471171
108,4,stem,10.0,3,30,+,2.444731616079066,0.5670451984946072
109,4,stem,10.0,3,30,-,,
110,4,stem,10.0,3,100,+,,
111,4,stem,10.0,3,100,-,2.154001340556701,0.07459645702864683
112,5,ctrl,0.0,0,0,-,2.7188804624103966,0.025530604868587835
113,5,ctrl,0.0,0,10,-,3.667072244438409,0.03147963237847079
114,5,ctrl,0.0,0,30,-,,
115,5,ctrl,0.0,0,100,-,,
116,5,stem,5.0,3,0,+,2.5173662980270954,0.01448883594422802
117,5,stem,5.0,3,0,-,2.619331166849692,0.007329527361285656
118,5,stem,5.0,3,10,+,3.3005774404461636,0.0594647890453582
119,5,stem,5.0,3,10,-,3.4382822311562093,0.14093504799207546
120,5,stem,5.0,3,30,+,3.0848064005735125,0.035632967519466464
121,5,stem,5.0,3,30,-,3.0612761559097965,0.0807638849955752
122,5,stem,5.0,3,100,+,2.6746420120431615,0.47635915931378675
123,5,stem,5.0,3,100,-,2.5187093814341464,0.6006394802439127
124,5,stem,7.5,3,0,+,2.5509890693117594,0.02238054320807212
125,5,stem,7.5,3,0,-,2.72652738256984,0.028593831749920463
126,5,stem,7.5,3,10,+,3.516888231055484,0.0449305571605474
127,5,stem,7.5,3,10,-,3.6646799124748677,0.01057212408350516
128,5,stem,7.5,3,30,+,3.1627395199695894,0.6626719035102341
129,5,stem,7.5,3,30,-,2.4333849083813908,0.14033909002856862
130,5,stem,7.5,3,100,+,3.2201764494051384,0.07452906743841013
131,5,stem,7.5,3,100,-,2.8753143325356514,0.17840917698625666
132,5,stem,10.0,3,0,+,,
133,5,stem,10.0,3,0,-,2.719231861783277,
134,5,stem,10.0,3,10,+,,
135,5,stem,10.0,3,10,-,,
136,5,stem,10.0,3,30,+,,
137,5,stem,10.0,3,30,-,,
138,5,stem,10.0,3,100,+,,
139,5,stem,10.0,3,100,-,,
140,6,ctrl,0.0,0,0,-,2.696171859231396,0.027850113420705303
141,6,ctrl,0.0,0,10,-,3.623296879412499,0.03751027392446864
142,6,ctrl,0.0,0,30,-,,
143,6,ctrl,0.0,0,100,-,,
144,6,stem,5.0,3,0,+,,
145,6,stem,5.0,3,0,-,2.6569200430252935,0.02948738016853572
146,6,stem,5.0,3,10,+,3.25048083469334,0.08068615014955394
147,6,stem,5.0,3,10,-,3.4957047361401425,0.07339413569658108
148,6,stem,5.0,3,30,+,3.131970561527683,0.08512992153211316
149,6,stem,5.0,3,30,-,3.066128496182714,0.10238796247558356
150,6,stem,5.0,3,100,+,2.9245117867206436,0.05953785978561019
151,6,stem,5.0,3,100,-,2.769422398735824,0.2109935327043133
152,6,stem,7.5,3,0,+,2.55454345594515,0.04660653104991586
153,6,stem,7.5,3,0,-,2.714942886044839,0.01461917863662585
154,6,stem,7.5,3,10,+,3.399893786764816,0.08481473321581669
155,6,stem,7.5,3,10,-,3.6105576556470744,0.047477908233349235
156,6,stem,7.5,3,30,+,2.9992649091772154,0.5061817975077911
157,6,stem,7.5,3,30,-,,
158,6,stem,7.5,3,100,+,2.7920503296456705,0.6293881551892823
159,6,stem,7.5,3,100,-,2.1887104731310183,0.2823969429635502
160,6,stem,10.0,3,0,+,,
161,6,stem,10.0,3,0,-,,
162,6,stem,10.0,3,10,+,,
163,6,stem,10.0,3,10,-,,
164,6,stem,10.0,3,30,+,,
165,6,stem,10.0,3,30,-,,
166,6,stem,10.0,3,100,+,,
167,6,stem,10.0,3,100,-,,
168,7,ctrl,0.0,0,0,-,2.652686481460177,0.10948523457398085
169,7,ctrl,0.0,0,10,-,3.515758610021028,0.02065734556230451
170,7,ctrl,0.0,0,30,-,,
171,7,ctrl,0.0,0,100,-,,
172,7,stem,5.0,3,0,+,,
173,7,stem,5.0,3,0,-,2.6774170630230465,0.05302529444213241
