,Unnamed: 0,Unnamed: 0.1,method,mu_P,mu_N,mu_M,lam_MB,lam_MD,lam_diff,production
0,0,0,diff,1.35,1.5,1.5,0.001,0.001,599.9771583085667,4644232302.038866
1,1,0,diff,1.35,1.5,1.5,0.001,1e-06,0.07601194082881065,4715009126.971716
2,2,0,diff,1.35,1.5,1.5,0.001,1e-09,0.07544188229642416,4715381759.315673
3,3,0,diff,1.35,1.5,1.5,0.001,1e-12,0.07544186805633632,4715382471.691899
4,4,0,diff,1.35,1.5,1.5,1e-06,0.001,599.9999020119844,10832309578.947006
5,5,0,diff,1.35,1.5,1.5,1e-06,1e-06,0.022308927717476768,12917186547.576006
6,6,0,diff,1.35,1.5,1.5,1e-06,1e-09,0.018985045002263383,13758729521.866158
7,7,0,diff,1.35,1.5,1.5,1e-06,1e-12,0.01898503930107566,13759965079.163841
8,8,0,diff,1.35,1.5,1.5,1e-09,0.001,599.2956903859747,12408002206.280964
9,9,0,diff,1.35,1.5,1.5,1e-09,1e-06,599.9990273763908,17194898190.443264
10,10,0,diff,1.35,1.5,1.5,1e-09,1e-09,0.011185994647214837,22776210418.231342
11,11,0,diff,1.35,1.5,1.5,1e-09,1e-12,0.011186011918248369,23712668672.55508
12,12,0,diff,1.35,1.5,1.5,1e-12,0.001,596.5908075354425,12408002853.941832
13,13,0,diff,1.35,1.5,1.5,1e-12,1e-06,599.9997756002414,18763474821.12666
14,14,0,diff,1.35,1.5,1.5,1e-12,1e-09,0.0115762558188527,23875828112.93833
15,15,0,diff,1.35,1.5,1.5,1e-12,1e-12,0.008102064472297367,32980522989.539974
16,16,0,diff,0.75,1.5,1.5,0.001,0.001,0.186845329972898,1094650340.3030033
17,17,0,diff,0.75,1.5,1.5,0.001,1e-06,0.15659573715190792,1239612150.1152833
18,18,0,diff,0.75,1.5,1.5,0.001,1e-09,0.15659825690435916,1239816371.4282274
19,19,0,diff,0.75,1.5,1.5,0.001,1e-12,0.15659824550349558,1239816569.2505314
20,20,0,diff,0.75,1.5,1.5,1e-06,0.001,0.17610840292892568,1305037705.205171
21,21,0,diff,0.75,1.5,1.5,1e-06,1e-06,0.08855202250455553,2951406162.694749
22,22,0,diff,0.75,1.5,1.5,1e-06,1e-09,0.07842766172224266,3126844248.3940053
23,23,0,diff,0.75,1.5,1.5,1e-06,1e-12,0.07842773778373179,3127091607.533286
24,24,0,diff,0.75,1.5,1.5,1e-09,0.001,0.17615020323589992,1305361444.369513
25,25,0,diff,0.75,1.5,1.5,1e-09,1e-06,0.07887114689279467,3166937052.6528034
26,26,0,diff,0.75,1.5,1.5,1e-09,1e-09,0.05592458378863102,4919736555.085013
27,27,0,diff,0.75,1.5,1.5,1e-09,1e-12,0.05211374693277439,5105460050.884157
28,28,0,diff,0.75,1.5,1.5,1e-12,0.001,0.17615022821899298,1305361767.972457
29,29,0,diff,0.75,1.5,1.5,1e-12,1e-06,0.0788708838803601,3167265709.618164
30,30,0,diff,0.75,1.5,1.5,1e-12,1e-09,0.05608343094591433,5135183910.500396
31,31,0,diff,0.75,1.5,1.5,1e-12,1e-12,0.04220955621016751,6927064695.682288
32,32,0,diff,0.14999999999999994,1.5,1.5,0.001,0.001,0.2178060155939721,651724298.9204906
33,33,0,diff,0.14999999999999994,1.5,1.5,0.001,1e-06,0.19267357771809573,743371655.9406589
34,34,0,diff,0.14999999999999994,1.5,1.5,0.001,1e-09,0.1864613897606466,743636890.7634294
35,35,0,diff,0.14999999999999994,1.5,1.5,0.001,1e-12,0.1864613742251188,743637023.6572605
36,36,0,diff,0.14999999999999994,1.5,1.5,1e-06,0.001,0.20821462993423406,770415308.5601263
37,37,0,diff,0.14999999999999994,1.5,1.5,1e-06,1e-06,0.12033176391342562,1731005253.6332335
38,38,0,diff,0.14999999999999994,1.5,1.5,1e-06,1e-09,0.10870061808937832,1832848516.1805773
39,39,0,diff,0.14999999999999994,1.5,1.5,1e-06,1e-12,0.10870011540892303,1832992913.3615296
40,40,0,diff,0.14999999999999994,1.5,1.5,1e-09,0.001,0.2081558197805382,770604859.6252277
41,41,0,diff,0.14999999999999994,1.5,1.5,1e-09,1e-06,0.11989177823098325,1852034161.5799985
42,42,0,diff,0.14999999999999994,1.5,1.5,1e-09,1e-09,0.08635813671093387,2850259904.8651233
43,43,0,diff,0.14999999999999994,1.5,1.5,1e-09,1e-12,0.08174987995161473,2956242870.21378
44,44,0,diff,0.14999999999999994,1.5,1.5,1e-12,0.001,0.20815541478942606,770605111.6057848
45,45,0,diff,0.14999999999999994,1.5,1.5,1e-12,1e-06,0.11988968887585286,1852215287.2486448
46,46,0,diff,0.14999999999999994,1.5,1.5,1e-12,1e-09,0.08617783620869153,2971255686.141744
47,47,0,diff,0.14999999999999994,1.5,1.5,1e-12,1e-12,0.07123859603002201,3985001155.904024
