,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
0,0,0,0,0,0,0.001,0.001,0.001,0.05454552,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,15,4
1,1,1,1,1,0,0.001,0.001,1e-06,0.054327319000000006,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,15,4
2,2,2,2,2,0,0.001,0.001,1e-09,0.054327319000000006,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,15,4
3,3,3,3,3,0,0.001,0.001,1e-12,0.054327319000000006,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,15,4
4,4,4,4,4,0,0.001,0.001,0.0,0.054327319000000006,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,15,4
5,5,5,5,5,0,0.001,1e-06,0.001,0.045678377,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,41,4
6,6,6,6,6,0,0.001,1e-06,1e-06,0.045430835,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,48,4
7,7,7,7,7,0,0.001,1e-06,1e-09,0.045430835,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,48,4
8,8,8,8,8,0,0.001,1e-06,1e-12,0.045430835,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,48,4
9,9,9,9,9,0,0.001,1e-06,0.0,0.045430835,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,48,4
10,10,10,10,10,0,0.001,1e-09,0.001,0.042798881,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,43,4
11,11,11,11,11,0,0.001,1e-09,1e-06,0.045925653,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,72,4
12,12,12,12,12,0,0.001,1e-09,1e-09,0.047702322000000005,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,77,4
13,13,13,13,13,0,0.001,1e-09,1e-12,0.048050817999999995,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,77,4
14,14,14,14,14,0,0.001,1e-09,0.0,0.048050817999999995,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,77,4
15,15,15,15,15,0,0.001,1e-12,0.001,0.042798881,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,43,4
16,16,16,16,16,0,0.001,1e-12,1e-06,0.04658245,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,73,4
17,17,17,17,17,0,0.001,1e-12,1e-09,0.049083717,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,96,4
18,18,18,18,18,0,0.001,1e-12,1e-12,0.052265757,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,101,4
19,19,19,19,19,0,0.001,1e-12,0.0,0.052264352,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,101,4
20,20,20,20,20,0,1e-06,0.001,0.001,491.3445891,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,18,4
21,21,21,21,21,0,1e-06,0.001,1e-06,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
22,22,22,22,22,0,1e-06,0.001,1e-09,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
23,23,23,23,23,0,1e-06,0.001,1e-12,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
24,24,24,24,24,0,1e-06,0.001,0.0,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
25,25,25,25,25,0,1e-06,1e-06,0.001,0.034447959,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,59,4
26,26,26,26,26,0,1e-06,1e-06,1e-06,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
27,27,27,27,27,0,1e-06,1e-06,1e-09,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
28,28,28,28,28,0,1e-06,1e-06,1e-12,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
29,29,29,29,29,0,1e-06,1e-06,0.0,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
30,30,30,30,30,0,1e-06,1e-09,0.001,0.032465286,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,98,4
31,31,31,31,31,0,1e-06,1e-09,1e-06,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
32,32,32,32,32,0,1e-06,1e-09,1e-09,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
33,33,33,33,33,0,1e-06,1e-09,1e-12,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
34,34,34,34,34,0,1e-06,1e-09,0.0,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
35,35,35,35,35,0,1e-06,1e-12,0.001,0.032465286,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,100,4
36,36,36,36,36,0,1e-06,1e-12,1e-06,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,148,4
37,37,37,37,37,0,1e-06,1e-12,1e-09,0.032078614,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
38,38,38,38,38,0,1e-06,1e-12,1e-12,0.032057526,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
39,39,39,39,39,0,1e-06,1e-12,0.0,0.032057526,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
40,40,40,40,40,0,1e-09,0.001,0.001,491.3445891,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,18,4
41,41,41,41,41,0,1e-09,0.001,1e-06,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
42,42,42,42,42,0,1e-09,0.001,1e-09,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
43,43,43,43,43,0,1e-09,0.001,1e-12,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
44,44,44,44,44,0,1e-09,0.001,0.0,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
45,45,45,45,45,0,1e-09,1e-06,0.001,0.035417146000000004,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,59,4
46,46,46,46,46,0,1e-09,1e-06,1e-06,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
47,47,47,47,47,0,1e-09,1e-06,1e-09,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
48,48,48,48,48,0,1e-09,1e-06,1e-12,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
49,49,49,49,49,0,1e-09,1e-06,0.0,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
50,50,50,50,50,0,1e-09,1e-09,0.001,0.032323498,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,108,4
51,51,51,51,51,0,1e-09,1e-09,1e-06,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
52,52,52,52,52,0,1e-09,1e-09,1e-09,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
53,53,53,53,53,0,1e-09,1e-09,1e-12,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
54,54,54,54,54,0,1e-09,1e-09,0.0,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
55,55,55,55,55,0,1e-09,1e-12,0.001,0.032035531,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,149,4
56,56,56,56,56,0,1e-09,1e-12,1e-06,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
57,57,57,57,57,0,1e-09,1e-12,1e-09,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
58,58,58,58,58,0,1e-09,1e-12,1e-12,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
59,59,59,59,59,0,1e-09,1e-12,0.0,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
60,60,60,60,60,0,1e-12,0.001,0.001,491.3445891,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,18,4
61,61,61,61,61,0,1e-12,0.001,1e-06,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
62,62,62,62,62,0,1e-12,0.001,1e-09,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
63,63,63,63,63,0,1e-12,0.001,1e-12,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
64,64,64,64,64,0,1e-12,0.001,0.0,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
65,65,65,65,65,0,1e-12,1e-06,0.001,0.035417146000000004,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,59,4
66,66,66,66,66,0,1e-12,1e-06,1e-06,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
67,67,67,67,67,0,1e-12,1e-06,1e-09,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
68,68,68,68,68,0,1e-12,1e-06,1e-12,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
69,69,69,69,69,0,1e-12,1e-06,0.0,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
70,70,70,70,70,0,1e-12,1e-09,0.001,0.032323498,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,108,4
71,71,71,71,71,0,1e-12,1e-09,1e-06,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
72,72,72,72,72,0,1e-12,1e-09,1e-09,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
73,73,73,73,73,0,1e-12,1e-09,1e-12,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
74,74,74,74,74,0,1e-12,1e-09,0.0,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
75,75,75,75,75,0,1e-12,1e-12,0.001,0.032042719,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,159,4
76,76,76,76,76,0,1e-12,1e-12,1e-06,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
77,77,77,77,77,0,1e-12,1e-12,1e-09,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
