,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
0,0,0,0,0.001,0.001,0.001,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,20,8
1,1,1,0,0.001,0.001,1e-06,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,20,8
2,2,2,0,0.001,0.001,1e-09,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,20,8
3,3,3,0,0.001,0.001,1e-12,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,20,8
4,4,4,0,0.001,0.001,0.0,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,20,8
5,5,5,0,0.001,1e-06,0.001,0.030850587000000002,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,52,8
6,6,6,0,0.001,1e-06,1e-06,0.033841797,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,63,8
7,7,7,0,0.001,1e-06,1e-09,0.033841797,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,63,8
8,8,8,0,0.001,1e-06,1e-12,0.033841797,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,63,8
9,9,9,0,0.001,1e-06,0.0,0.033841797,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,63,8
10,10,10,0,0.001,1e-09,0.001,0.034498107,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,53,8
11,11,11,0,0.001,1e-09,1e-06,0.033996324,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,90,8
12,12,12,0,0.001,1e-09,1e-09,0.037142547000000005,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,99,8
13,13,13,0,0.001,1e-09,1e-12,0.037142547000000005,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,99,8
14,14,14,0,0.001,1e-09,0.0,0.037142547000000005,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,99,8
15,15,15,0,0.001,1e-12,0.001,0.034498107,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,53,8
16,16,16,0,0.001,1e-12,1e-06,0.036936132999999996,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,91,8
17,17,17,0,0.001,1e-12,1e-09,0.040659909,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,121,8
18,18,18,0,0.001,1e-12,1e-12,0.041234242000000004,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,129,8
19,19,19,0,0.001,1e-12,0.0,0.041234242000000004,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,129,8
20,20,20,0,1e-06,0.001,0.001,0.0363911,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,22,8
21,21,21,0,1e-06,0.001,1e-06,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,21,8
22,22,22,0,1e-06,0.001,1e-09,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,21,8
23,23,23,0,1e-06,0.001,1e-12,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,21,8
